epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,330.326,1.08444,0.54674,0.82119,0.79298,0.70618,0.75161,0.46937,1.05632,0.53642,0.83475,0.000742625,0.000742625,0.000742625
43,337.843,1.08667,0.55884,0.82464,0.74524,0.69899,0.73595,0.45305,1.08528,0.54139,0.84237,0.00073025,0.00073025,0.00073025
44,346.276,1.08681,0.55666,0.82315,0.81544,0.70668,0.7721,0.4743,1.07105,0.53566,0.83817,0.000717875,0.000717875,0.000717875
45,353.163,1.07614,0.54536,0.81773,0.87148,0.67775,0.76658,0.47717,1.07606,0.52662,0.83878,0.0007055,0.0007055,0.0007055
46,361.623,1.10289,0.54899,0.82597,0.84812,0.70576,0.77451,0.48167,1.06844,0.52432,0.83652,0.000693125,0.000693125,0.000693125
47,368.597,1.06304,0.54293,0.82076,0.87962,0.68056,0.76279,0.46992,1.07484,0.53656,0.83796,0.00068075,0.00068075,0.00068075
48,377.163,1.08816,0.56808,0.82411,0.81162,0.68977,0.75093,0.46686,1.06399,0.53588,0.83831,0.000668375,0.000668375,0.000668375
49,383.994,1.06778,0.55051,0.82335,0.80514,0.68581,0.74132,0.46505,1.05472,0.52579,0.83812,0.000656,0.000656,0.000656
50,392.346,1.08717,0.54996,0.82689,0.82728,0.73589,0.7742,0.47766,1.08156,0.54154,0.8425,0.000643625,0.000643625,0.000643625
51,399.436,1.08592,0.55587,0.82734,0.86372,0.70503,0.77078,0.46602,1.08011,0.53927,0.83994,0.00063125,0.00063125,0.00063125
52,407.541,1.11795,0.58007,0.82772,0.84504,0.67829,0.76296,0.46783,1.05452,0.53182,0.84321,0.000618875,0.000618875,0.000618875
53,415.438,1.06596,0.55544,0.82121,0.88253,0.67708,0.77329,0.47686,1.03702,0.52218,0.83561,0.0006065,0.0006065,0.0006065
54,422.845,1.07422,0.54629,0.82398,0.84642,0.7058,0.77377,0.48311,1.03011,0.51424,0.83469,0.000594125,0.000594125,0.000594125
55,431.285,1.09631,0.54895,0.82504,0.80081,0.68929,0.7503,0.46204,1.04522,0.52382,0.83671,0.00058175,0.00058175,0.00058175
56,438.258,1.07174,0.54856,0.82589,0.81923,0.74189,0.77363,0.47677,1.00815,0.50097,0.83398,0.000569375,0.000569375,0.000569375
57,446.465,1.01654,0.52787,0.82149,0.8317,0.75055,0.79608,0.48432,1.01925,0.51181,0.83855,0.000557,0.000557,0.000557
58,453.498,1.0316,0.52907,0.82087,0.84699,0.71001,0.78802,0.49281,1.02132,0.52334,0.83536,0.000544625,0.000544625,0.000544625
59,461.87,1.05159,0.53087,0.81372,0.85036,0.73764,0.78808,0.4873,1.02954,0.50263,0.83534,0.00053225,0.00053225,0.00053225
60,468.946,1.05019,0.52956,0.81488,0.84217,0.75614,0.79557,0.48994,1.03373,0.50772,0.83516,0.000519875,0.000519875,0.000519875
61,477.16,1.03736,0.52437,0.81808,0.86199,0.74312,0.7802,0.48584,1.00985,0.49117,0.83245,0.0005075,0.0005075,0.0005075
62,484.797,1.03871,0.52359,0.81756,0.83627,0.7617,0.787,0.48787,0.98071,0.48051,0.83157,0.000495125,0.000495125,0.000495125
63,492.291,1.00579,0.50806,0.81357,0.93848,0.70288,0.79555,0.4991,1.00843,0.49516,0.83322,0.00048275,0.00048275,0.00048275
64,500.766,1.04308,0.52293,0.81895,0.91599,0.6951,0.79137,0.48833,1.00158,0.50275,0.83314,0.000470375,0.000470375,0.000470375
65,507.662,1.01921,0.51744,0.8181,0.79654,0.72476,0.77683,0.48536,0.98726,0.49146,0.83086,0.000458,0.000458,0.000458
66,516.083,1.04097,0.52118,0.81826,0.76962,0.74736,0.78156,0.48845,1.02267,0.50169,0.83455,0.000445625,0.000445625,0.000445625
67,523.007,1.02059,0.51251,0.81847,0.88098,0.70534,0.7809,0.49425,1.02619,0.49059,0.83088,0.00043325,0.00043325,0.00043325
68,531.358,1.03062,0.51253,0.81224,0.81019,0.71581,0.75855,0.47652,1.00658,0.49779,0.83029,0.000420875,0.000420875,0.000420875
69,538.31,1.02897,0.50864,0.81503,0.85065,0.72122,0.77547,0.49138,1.00335,0.49067,0.82906,0.0004085,0.0004085,0.0004085
70,546.716,1.00076,0.49784,0.81737,0.85391,0.70485,0.77307,0.49153,0.98571,0.48976,0.83057,0.000396125,0.000396125,0.000396125
71,553.901,1.01188,0.49395,0.81023,0.86135,0.72921,0.77605,0.49981,0.98025,0.47265,0.83004,0.00038375,0.00038375,0.00038375
72,561.84,0.99039,0.4897,0.80924,0.82619,0.74641,0.78001,0.49303,0.98012,0.47931,0.83007,0.000371375,0.000371375,0.000371375
73,569.561,1.00864,0.49824,0.81804,0.83199,0.74541,0.77551,0.49344,0.97963,0.48937,0.82843,0.000359,0.000359,0.000359
74,576.919,1.00495,0.49362,0.81002,0.79211,0.74846,0.76269,0.48612,1.00243,0.48265,0.83067,0.000346625,0.000346625,0.000346625
75,585.189,1.00482,0.49342,0.81124,0.80759,0.75058,0.77577,0.49175,0.98932,0.47416,0.82963,0.00033425,0.00033425,0.00033425
76,592.202,0.96359,0.47786,0.8138,0.89638,0.69019,0.77532,0.49638,0.97722,0.47569,0.83086,0.000321875,0.000321875,0.000321875
77,600.709,0.97874,0.48399,0.81073,0.85779,0.73487,0.78126,0.50042,0.99453,0.47373,0.83152,0.0003095,0.0003095,0.0003095
78,607.668,1.00611,0.48848,0.80912,0.82759,0.73957,0.77258,0.49537,0.99175,0.4724,0.83128,0.000297125,0.000297125,0.000297125
79,616.042,0.99788,0.48554,0.81268,0.87856,0.70522,0.7748,0.49788,0.9773,0.46918,0.82851,0.00028475,0.00028475,0.00028475
80,623.088,0.99515,0.48333,0.80551,0.82997,0.74452,0.78167,0.49451,0.97818,0.47319,0.82877,0.000272375,0.000272375,0.000272375
81,631.387,0.97602,0.47463,0.81195,0.82541,0.72946,0.77615,0.49155,0.98512,0.47544,0.8315,0.00026,0.00026,0.00026
82,639.041,0.94856,0.46996,0.81321,0.86959,0.71365,0.76994,0.49122,0.98528,0.47382,0.82917,0.000247625,0.000247625,0.000247625
83,646.546,0.95566,0.4689,0.81226,0.88332,0.72198,0.78718,0.51002,0.9812,0.48461,0.829,0.00023525,0.00023525,0.00023525
84,654.894,0.98344,0.47668,0.80981,0.89313,0.73135,0.78916,0.51124,0.97543,0.47673,0.82939,0.000222875,0.000222875,0.000222875
85,661.871,0.97734,0.4772,0.80878,0.89068,0.73779,0.79281,0.50743,0.97804,0.4799,0.82935,0.0002105,0.0002105,0.0002105
86,670.201,0.96601,0.46907,0.80887,0.85024,0.74844,0.78296,0.50251,0.98184,0.47716,0.82764,0.000198125,0.000198125,0.000198125
87,677.125,0.96715,0.46674,0.80766,0.85629,0.75707,0.79319,0.51371,0.9751,0.46759,0.82801,0.00018575,0.00018575,0.00018575
88,685.582,0.96868,0.46973,0.80597,0.90423,0.70274,0.78585,0.5033,0.95145,0.46505,0.82511,0.000173375,0.000173375,0.000173375
89,692.691,0.98348,0.47268,0.811,0.91761,0.72093,0.79228,0.50613,0.96307,0.46971,0.826,0.000161,0.000161,0.000161
90,701.044,0.95453,0.46296,0.81204,0.85661,0.7381,0.79204,0.50703,0.95889,0.46045,0.82565,0.000148625,0.000148625,0.000148625
